"","x"
"3081","TF"
"3082","SRPRB"
"3083","RAB6B"
"3084","SLCO2A1"
"3085","RYK"
"3086","AMOTL2"
"3087","ANAPC13"
"3088","CEP63"
"3089","EPHB1"
"3090","KY"
"3091","PPP2R3A"
"3092","MSL2"
"3093","PCCB"
"3094","STAG1"
"3095","SLC35G2"
"3096","NCK1"
"3097","IL20RB"
"3098","CLDN18"
"3099","DZIP1L"
"3100","DBR1"
"3101","ARMC8"
"3102","NME9"
"3103","MRAS"
"3104","ESYT3"
"3105","CEP70"
"3106","FAIM"
"3107","PIK3CB"
"3108","FOXL2"
"3109","MRPS22"
"3110","COPB2"
"3111","RBP1"
"3112","NMNAT3"
"3113","CLSTN2"
"3114","SLC25A36"
"3115","SPSB4"
"3116","PXYLP1"
"3117","ZBTB38"
"3118","RASA2"
"3119","RNF7"
"3120","GRK7"
"3121","ATP1B3"
"3122","TFDP2"
"3123","GK5"
"3124","XRN1"
"3125","ATR"
"3126","PLS1"
"3127","TRPC1"
"3128","PCOLCE2"
"3129","PAQR9"
"3130","U2SURP"
"3131","CHST2"
"3132","SLC9A9"
"3133","PLOD2"
"3134","PLSCR4"
"3135","PLSCR2"
"3136","PLSCR1"
"3137","ZIC1"
"3138","GYG1"
"3139","HLTF"
"3140","HPS3"
"3141","CP"
"3142","WWTR1"
"3143","COMMD2"
"3144","ANKUB1"
"3145","RNF13"
"3146","PFN2"
"3147","TSC22D2"
"3148","SERP1"
"3149","EIF2A"
"3150","ERICH6"
"3151","SIAH2"
"3152","MED12L"
"3153","GPR171"
"3154","P2RY14"
"3155","GPR87"
"3156","P2RY13"
"3157","IGSF10"
"3158","MBNL1"
"3159","P2RY1"
"3160","RAP2B"
"3161","ARHGEF26"
"3162","DHX36"
"3163","GPR149"
"3164","MME"
"3165","PLCH1"
"3166","C3orf33"
"3167","SLC33A1"
"3168","GMPS"
"3169","KCNAB1"
"3170","SSR3"
"3171","TIPARP"
"3172","LEKR1"
"3173","CCNL1"
"3174","VEPH1"
"3175","PTX3"
"3176","PQLC2L"
"3177","RSRC1"
"3178","MLF1"
"3179","GFM1"
"3180","LXN"
"3181","RARRES1"
"3182","MFSD1"
"3183","IQCJ-SCHIP1"
"3184","IL12A"
"3185","C3orf80"
"3186","SMC4"
"3187","TRIM59"
"3188","KPNA4"
"3189","PPM1L"
"3190","B3GALNT1"
"3191","NMD3"
"3192","SPTSSB"
"3193","SLITRK3"
"3194","BCHE"
"3195","ZBBX"
"3196","SERPINI2"
"3197","WDR49"
"3198","PDCD10"
"3199","SERPINI1"
"3200","GOLIM4"
"3201","ACTRT3"
"3202","MYNN"
"3203","LRRC34"
"3204","LRRIQ4"
"3205","SEC62"
"3206","GPR160"
"3207","PHC3"
"3208","PRKCI"
"3209","SKIL"
"3210","CLDN11"
"3211","SLC7A14"
"3212","RPL22L1"
"3213","EIF5A2"
"3214","TNIK"
"3215","PLD1"
"3216","TMEM212"
"3217","FNDC3B"
"3218","TNFSF10"
"3219","NCEH1"
"3220","ECT2"
"3221","NLGN1"
"3222","NAALADL2"
"3223","TBL1XR1"
"3224","KCNMB2"
"3225","ZMAT3"
"3226","PIK3CA"
"3227","KCNMB3"
"3228","ZNF639"
"3229","MFN1"
"3230","GNB4"
"3231","ACTL6A"
"3232","MRPL47"
"3233","NDUFB5"
"3234","USP13"
"3235","PEX5L"
"3236","TTC14"
"3237","CCDC39"
"3238","FXR1"
"3239","DNAJC19"
"3240","SOX2"
"3241","ATP11B"
"3242","DCUN1D1"
"3243","MCCC1"
"3244","LAMP3"
"3245","MCF2L2"
"3246","B3GNT5"
"3247","KLHL6"
"3248","KLHL24"
"3249","YEATS2"
"3250","MAP6D1"
"3251","PARL"
"3252","ABCC5"
"3253","EIF2B5"
"3254","ALG3"
"3255","CAMK2N2"
"3256","CLCN2"
"3257","THPO"
"3258","MAGEF1"
"3259","VPS8"
"3260","C3orf70"
"3261","EHHADH"
"3262","MAP3K13"
"3263","TMEM41A"
"3264","LIPH"
"3265","SENP2"
"3266","IGF2BP2"
"3267","TRA2B"
"3268","ETV5"
"3269","DGKG"
"3270","CRYGS"
"3271","TBCCD1"
"3272","DNAJB11"
"3273","KNG1"
"3274","EIF4A2"
"3275","RFC4"
"3276","ST6GAL1"
"3277","RPL39L"
"3278","RTP1"
"3279","MASP1"
"3280","SST"
"3281","BCL6"
"3282","LPP"
"3283","TPRG1"
"3284","P3H2"
"3285","CLDN1"
"3286","CLDN16"
"3287","IL1RAP"
"3288","GMNC"
"3289","OSTN"
"3290","CCDC50"
"3291","FGF12"
"3292","MB21D2"
"3293","HRASLS"
"3294","ATP13A5"
"3295","ATP13A4"
"3296","OPA1"
"3297","HES1"
"3298","ATP13A3"
"3299","TMEM44"
"3300","LSG1"
"3301","FAM43A"
"3302","XXYLT1"
"3303","ACAP2"
"3304","PPP1R2"
"3305","APOD"
"3306","MUC20"
"3307","TNK2"
"3308","TFRC"
"3309","ZDHHC19"
"3310","SLC51A"
"3311","PCYT1A"
"3312","UBXN7"
"3313","RNF168"
"3314","SMCO1"
"3315","WDR53"
"3316","FBXO45"
"3317","PIGX"
"3318","CEP19"
"3319","PAK2"
"3320","SENP5"
"3321","NCBP2"
"3322","NCBP2-AS2"
"3323","PIGZ"
"3324","DLG1"
"3325","BDH1"
"3326","RUBCN"
"3327","FYTTD1"
"3328","LRCH3"
"3329","IQCG"
"3330","RPL35A"
"3331","LMLN"
"3332","ZNF595"
"3333","ZNF718"
"3334","ZNF141"
"3335","ZNF721"
"3336","PIGG"
"3337","PDE6B"
"3338","MYL5"
"3339","PCGF3"
"3340","CPLX1"
"3341","GAK"
"3342","TMEM175"
"3343","DGKQ"
"3344","SLC26A1"
"3345","IDUA"
"3346","FGFRL1"
"3347","RNF212"
"3348","SPON2"
"3349","CTBP1"
"3350","MAEA"
"3351","UVSSA"
"3352","CRIPAK"
"3353","FAM53A"
"3354","SLBP"
"3355","TMEM129"
"3356","TACC3"
"3357","FGFR3"
"3358","LETM1"
"3359","NELFA"
"3360","C4orf48"
"3361","NAT8L"
"3362","POLN"
"3363","HAUS3"
"3364","MXD4"
"3365","ZFYVE28"
"3366","CFAP99"
"3367","RNF4"
"3368","FAM193A"
"3369","TNIP2"
"3370","SH3BP2"
"3371","ADD1"
"3372","MFSD10"
"3373","NOP14"
"3374","GRK4"
"3375","HTT"
"3376","MSANTD1"
"3377","RGS12"
"3378","HGFAC"
"3379","DOK7"
"3380","LRPAP1"
"3381","ADRA2C"
"3382","TMEM128"
"3383","LYAR"
"3384","ZBTB49"
"3385","NSG1"
"3386","STX18"
"3387","MSX1"
"3388","STK32B"
"3389","CRMP1"
"3390","JAKMIP1"
"3391","WFS1"
"3392","PPP2R2C"
"3393","MAN2B2"
"3394","MRFAP1"
"3395","S100P"
"3396","MRFAP1L1"
"3397","BLOC1S4"
"3398","KIAA0232"
"3399","TBC1D14"
"3400","TADA2B"
"3401","GRPEL1"
"3402","SORCS2"
"3403","AFAP1"
"3404","ABLIM2"
"3405","ACOX3"
"3406","TRMT44"
"3407","SLC2A9"
"3408","DRD5"
"3409","WDR1"
"3410","ZNF518B"
"3411","CLNK"
"3412","HS3ST1"
"3413","RAB28"
"3414","BOD1L1"
"3415","CPEB2"
"3416","C1QTNF7"
"3417","CC2D2A"
"3418","FBXL5"
"3419","FAM200B"
"3420","BST1"
"3421","CD38"
"3422","PROM1"
"3423","TAPT1"
"3424","LDB2"
"3425","QDPR"
"3426","LAP3"
"3427","MED28"
"3428","FAM184B"
"3429","DCAF16"
"3430","NCAPG"
"3431","LCORL"
"3432","SLIT2"
"3433","PACRGL"
"3434","KCNIP4"
"3435","ADGRA3"
"3436","PPARGC1A"
"3437","DHX15"
"3438","SOD3"
"3439","CCDC149"
"3440","LGI2"
"3441","SEPSECS"
"3442","PI4K2B"
"3443","ZCCHC4"
"3444","ANAPC4"
"3445","SLC34A2"
"3446","SEL1L3"
"3447","SMIM20"
"3448","RBPJ"
"3449","TBC1D19"
"3450","STIM2"
"3451","PCDH7"
"3452","ARAP2"
"3453","NWD2"
"3454","C4orf19"
"3455","RELL1"
"3456","PGM2"
"3457","TBC1D1"
"3458","KLF3"
"3459","TLR10"
"3460","TLR1"
"3461","FAM114A1"
"3462","TMEM156"
"3463","KLHL5"
"3464","WDR19"
"3465","RFC1"
"3466","KLB"
"3467","RPL9"
"3468","LIAS"
"3469","UGDH"
"3470","SMIM14"
"3471","UBE2K"
"3472","PDS5A"
"3473","N4BP2"
"3474","CHRNA9"
"3475","APBB2"
"3476","UCHL1"
"3477","LIMCH1"
"3478","TMEM33"
"3479","DCAF4L1"
"3480","SLC30A9"
"3481","BEND4"
"3482","ATP8A1"
"3483","KCTD8"
"3484","YIPF7"
"3485","GUF1"
"3486","GNPDA2"
"3487","GABRG1"
"3488","GABRA2"
"3489","GABRA4"
"3490","GABRB1"
"3491","COMMD8"
"3492","ATP10D"
"3493","CORIN"
"3494","NFXL1"
"3495","NIPAL1"
"3496","CNGA1"
"3497","TXK"
"3498","TEC"
"3499","SLAIN2"
"3500","SLC10A4"
"3501","FRYL"
"3502","OCIAD1"
"3503","OCIAD2"
"3504","DCUN1D4"
"3505","LRRC66"
"3506","SGCB"
"3507","SPATA18"
"3508","USP46"
"3509","ERVMER34-1"
"3510","RASL11B"
"3511","SCFD2"
"3512","FIP1L1"
"3513","LNX1"
"3514","CHIC2"
"3515","PDGFRA"
"3516","KIT"
"3517","KDR"
"3518","SRD5A3"
"3519","TMEM165"
"3520","CLOCK"
"3521","NMU"
"3522","EXOC1"
"3523","CEP135"
"3524","KIAA1211"
"3525","AASDH"
"3526","PPAT"
"3527","PAICS"
"3528","SRP72"
"3529","ARL9"
"3530","HOPX"
"3531","SPINK2"
"3532","REST"
"3533","NOA1"
"3534","POLR2B"
"3535","IGFBP7"
"3536","ADGRL3"
"3537","EPHA5"
"3538","CENPC"
"3539","UBA6"
"3540","YTHDC1"
"3541","SULT1B1"
"3542","UTP3"
"3543","RUFY3"
"3544","GRSF1"
"3545","MOB1B"
"3546","DCK"
"3547","SLC4A4"
"3548","NPFFR2"
"3549","ADAMTS3"
"3550","COX18"
"3551","ANKRD17"
"3552","ALB"
"3553","AFP"
"3554","RASSF6"
"3555","CXCL5"
"3556","CXCL3"
"3557","CXCL2"
"3558","MTHFD2L"
"3559","EREG"
"3560","BTC"
"3561","PARM1"
"3562","RCHY1"
"3563","THAP6"
"3564","CDKL2"
"3565","G3BP2"
"3566","USO1"
"3567","PPEF2"
"3568","NAAA"
"3569","SDAD1"
"3570","ART3"
"3571","NUP54"
"3572","SCARB2"
"3573","FAM47E"
"3574","STBD1"
"3575","CCDC158"
"3576","SHROOM3"
"3577","SEPT11"
"3578","CCNI"
"3579","CCNG2"
"3580","CXCL13"
"3581","CNOT6L"
"3582","MRPL1"
"3583","FRAS1"
"3584","ANXA3"
"3585","BMP2K"
"3586","PAQR3"
"3587","ANTXR2"
"3588","PRDM8"
"3589","FGF5"
"3590","BMP3"
"3591","PRKG2"
"3592","RASGEF1B"
"3593","HNRNPD"
"3594","HNRNPDL"
"3595","ENOPH1"
"3596","TMEM150C"
"3597","SCD5"
"3598","SEC31A"
"3599","THAP9"
"3600","LIN54"
"3601","COPS4"
"3602","PLAC8"
"3603","COQ2"
"3604","HPSE"
"3605","HELQ"
"3606","MRPS18C"
"3607","GPAT3"
"3608","CDS1"
"3609","WDFY3"
"3610","ARHGAP24"
"3611","MAPK10"
"3612","PTPN13"
"3613","C4orf36"
"3614","AFF1"
"3615","KLHL8"
"3616","HSD17B13"
"3617","HSD17B11"
"3618","NUDT9"
"3619","SPARCL1"
"3620","MEPE"
"3621","SPP1"
"3622","PKD2"
"3623","ABCG2"
"3624","PPM1K"
"3625","HERC6"
"3626","HERC5"
"3627","PYURF"
"3628","HERC3"
"3629","NAP1L5"
"3630","FAM13A"
"3631","TIGD2"
"3632","GPRIN3"
"3633","SNCA"
"3634","CCSER1"
"3635","GRID2"
"3636","SMARCAD1"
"3637","PDLIM5"
"3638","BMPR1B"
"3639","UNC5C"
"3640","STPG2"
"3641","RAP1GDS1"
"3642","TSPAN5"
"3643","EIF4E"
"3644","METAP1"
"3645","ADH5"
"3646","ADH1B"
"3647","TRMT10A"
"3648","MTTP"
"3649","DAPP1"
"3650","LAMTOR3"
"3651","DNAJB14"
"3652","H2AFZ"
"3653","DDIT4L"
"3654","EMCN"
"3655","PPP3CA"
"3656","BANK1"
"3657","SLC39A8"
"3658","NFKB1"
"3659","MANBA"
"3660","UBE2D3"
"3661","CISD2"
"3662","SLC9B1"
"3663","SLC9B2"
"3664","BDH2"
"3665","CENPE"
"3666","TACR3"
"3667","CXXC4"
"3668","TET2"
"3669","PPA2"
"3670","INTS12"
"3671","GSTCD"
"3672","NPNT"
"3673","TBCK"
"3674","AIMP1"
"3675","DKK2"
"3676","PAPSS1"
"3677","SGMS2"
"3678","CYP2U1"
"3679","HADH"
"3680","RPL34"
"3681","OSTC"
"3682","ETNPPL"
"3683","COL25A1"
"3684","SEC24B"
"3685","CASP6"
"3686","PLA2G12A"
"3687","GAR1"
"3688","RRH"
"3689","LRIT3"
"3690","EGF"
"3691","ELOVL6"
"3692","ENPEP"
"3693","AP1AR"
"3694","TIFA"
"3695","ALPK1"
"3696","ZGRF1"
"3697","LARP7"
"3698","ANK2"
"3699","CAMK2D"
"3700","ARSJ"
"3701","UGT8"
"3702","NDST4"
"3703","TRAM1L1"
"3704","NDST3"
"3705","PRSS12"
"3706","METTL14"
"3707","SEC24D"
"3708","SYNPO2"
"3709","MYOZ2"
"3710","USP53"
"3711","C4orf3"
"3712","PDE5A"
"3713","MAD2L1"
"3714","PRDM5"
"3715","NDNF"
"3716","TNIP3"
"3717","QRFPR"
"3718","ANXA5"
"3719","TMEM155"
"3720","EXOSC9"
"3721","CCNA2"
"3722","BBS7"
"3723","TRPC3"
"3724","KIAA1109"
"3725","BBS12"
"3726","FGF2"
"3727","NUDT6"
"3728","SPATA5"
"3729","SPRY1"
"3730","ANKRD50"
"3731","FAT4"
"3732","INTU"
"3733","SLC25A31"
"3734","HSPA4L"
"3735","PLK4"
"3736","MFSD8"
"3737","ABHD18"
"3738","LARP1B"
"3739","PGRMC2"
"3740","JADE1"
"3741","SCLT1"
"3742","C4orf33"
"3743","PCDH10"
"3744","PCDH18"
"3745","SLC7A11"
"3746","NOCT"
"3747","ELF2"
"3748","MGARP"
"3749","NDUFC1"
"3750","NAA15"
"3751","RAB33B"
"3752","SETD7"
"3753","MGST2"
"3754","MAML3"
"3755","SCOC"
"3756","CLGN"
"3757","ELMOD2"
"3758","TBC1D9"
"3759","RNF150"
"3760","ZNF330"
"3761","IL15"
"3762","INPP4B"
"3763","USP38"
"3764","GAB1"
"3765","SMARCA5"
"3766","FREM3"
"3767","GYPE"
"3768","GYPB"
"3769","GYPA"
"3770","HHIP"
"3771","ANAPC10"
"3772","ABCE1"
"3773","OTUD4"
"3774","SMAD1"
"3775","MMAA"
"3776","ZNF827"
"3777","LSM6"
"3778","SLC10A7"
"3779","TTC29"
"3780","EDNRA"
"3781","TMEM184C"
"3782","PRMT9"
"3783","ARHGAP10"
"3784","NR3C2"
"3785","DCLK2"
"3786","LRBA"
"3787","RPS3A"
"3788","SH3D19"
"3789","FAM160A1"
"3790","GATB"
"3791","FBXW7"
"3792","TMEM154"
"3793","ARFIP1"
"3794","TIGD4"
"3795","FHDC1"
"3796","TRIM2"
"3797","MND1"
"3798","TLR2"
"3799","RNF175"
"3800","SFRP2"
"3801","DCHS2"
"3802","PLRG1"
"3803","LRAT"
"3804","MAP9"
"3805","TDO2"
"3806","CTSO"
"3807","PDGFC"
"3808","GLRB"
"3809","GRIA2"
"3810","TMEM144"
"3811","RXFP1"
"3812","C4orf46"
"3813","ETFDH"
"3814","PPID"
"3815","FNIP2"
"3816","C4orf45"
"3817","RAPGEF2"
"3818","FSTL5"
"3819","NAF1"
"3820","NPY1R"
"3821","NPY5R"
"3822","TMA16"
"3823","MARCH1"
"3824","TRIM61"
"3825","FAM218A"
"3826","TRIM60"
"3827","TMEM192"
"3828","KLHL2"
"3829","MSMO1"
"3830","CPE"
"3831","TLL1"
"3832","SPOCK3"
"3833","DDX60"
"3834","DDX60L"
"3835","PALLD"
"3836","CBR4"
"3837","SH3RF1"
"3838","NEK1"
"3839","CLCN3"
"3840","MFAP3L"
"3841","AADAT"
"3842","GALNTL6"
"3843","GALNT7"
"3844","HMGB2"
"3845","SAP30"
"3846","SCRG1"
"3847","FBXO8"
"3848","CEP44"
"3849","HPGD"
"3850","GLRA3"
"3851","ADAM29"
"3852","GPM6A"
"3853","WDR17"
"3854","SPATA4"
"3855","ASB5"
"3856","SPCS3"
"3857","VEGFC"
"3858","AGA"
"3859","TENM3"
"3860","DCTD"
"3861","WWC2"
"3862","CDKN2AIP"
"3863","ING2"
"3864","RWDD4"
"3865","TRAPPC11"
"3866","STOX2"
"3867","ENPP6"
"3868","IRF2"
"3869","CASP3"
"3870","PRIMPOL"
"3871","CENPU"
"3872","ACSL1"
"3873","SLC25A4"
"3874","CFAP97"
"3875","SNX25"
"3876","LRP2BP"
"3877","ANKRD37"
"3878","UFSP2"
"3879","C4orf47"
"3880","CCDC110"
"3881","PDLIM3"
"3882","SORBS2"
"3883","TLR3"
"3884","FAM149A"
"3885","CYP4V2"
"3886","KLKB1"
"3887","F11"
"3888","FAT1"
"3889","ZFP42"
"3890","TRIML2"
"3891","FRG1"
"3892","PLEKHG4B"
"3893","CCDC127"
"3894","SDHA"
"3895","PDCD6"
"3896","AHRR"
"3897","EXOC3"
"3898","CEP72"
"3899","TPPP"
"3900","ZDHHC11B"
"3901","ZDHHC11"
"3902","BRD9"
"3903","TRIP13"
"3904","NKD2"
"3905","SLC12A7"
"3906","CLPTM1L"
"3907","LPCAT1"
"3908","MRPL36"
"3909","NDUFS6"
"3910","ADAMTS16"
"3911","ICE1"
"3912","MED10"
"3913","UBE2QL1"
"3914","NSUN2"
"3915","SRD5A1"
"3916","ADCY2"
"3917","C5orf49"
"3918","MTRR"
"3919","FASTKD3"
"3920","SEMA5A"
"3921","CCT5"
"3922","CMBL"
"3923","MARCH6"
"3924","ROPN1L"
"3925","ANKRD33B"
"3926","DAP"
"3927","CTNND2"
"3928","DNAH5"
"3929","TRIO"
"3930","OTULIN"
"3931","ANKH"
"3932","FBXL7"
"3933","MARCH11"
"3934","ZNF622"
"3935","MYO10"
"3936","BASP1"
"3937","CDH18"
"3938","CDH12"
"3939","CDH10"
"3940","CDH9"
"3941","CDH6"
"3942","DROSHA"
"3943","C5orf22"
"3944","PDZD2"
"3945","GOLPH3"
"3946","MTMR12"
"3947","ZFR"
"3948","SUB1"
"3949","NPR3"
"3950","TARS"
"3951","ADAMTS12"
"3952","SLC45A2"
"3953","AMACR"
"3954","RAI14"
"3955","TTC23L"
"3956","RAD1"
"3957","BRIX1"
"3958","DNAJC21"
"3959","PRLR"
"3960","SPEF2"
"3961","IL7R"
"3962","CAPSL"
"3963","LMBRD2"
"3964","SKP2"
"3965","NADK2"
"3966","RANBP3L"
"3967","SLC1A3"
"3968","NIPBL"
"3969","NUP155"
"3970","WDR70"
"3971","GDNF"
"3972","LIFR"
"3973","OSMR"
"3974","RICTOR"
"3975","DAB2"
"3976","PTGER4"
"3977","TTC33"
"3978","PRKAA1"
"3979","RPL37"
"3980","CARD6"
"3981","PLCXD3"
"3982","OXCT1"
"3983","C5orf51"
"3984","FBXO4"
"3985","GHR"
"3986","CCDC152"
"3987","ZNF131"
"3988","NIM1K"
"3989","HMGCS1"
"3990","CCL28"
"3991","C5orf34"
"3992","PAIP1"
"3993","NNT"
"3994","FGF10"
"3995","MRPS30"
"3996","HCN1"
"3997","EMB"
"3998","PARP8"
"3999","ITGA1"
"4000","ITGA2"
"4001","MOCS2"
"4002","FST"
"4003","NDUFS4"
"4004","ARL15"
"4005","HSPB3"
"4006","SNX18"
"4007","CDC20B"
"4008","GPX8"
"4009","CCNO"
"4010","DHX29"
"4011","PLPP1"
"4012","SLC38A9"
"4013","DDX4"
"4014","IL6ST"
"4015","ANKRD55"
"4016","MAP3K1"
"4017","SETD9"
"4018","MIER3"
"4019","GPBP1"
"4020","PLK2"
"4021","RAB3C"
"4022","PDE4D"
"4023","DEPDC1B"
"4024","ELOVL7"
"4025","ERCC8"
"4026","NDUFAF2"
"4027","SMIM15"
"4028","ZSWIM6"
"4029","KIF2A"
"4030","DIMT1"
"4031","IPO11"
"4032","HTR1A"
"4033","RNF180"
"4034","RGS7BP"
"4035","SREK1IP1"
"4036","CWC27"
"4037","ADAMTS6"
"4038","CENPK"
"4039","PPWD1"
"4040","TRIM23"
"4041","TRAPPC13"
"4042","SGTB"
"4043","NLN"
"4044","SREK1"
"4045","MAST4"
"4046","PIK3R1"
"4047","SLC30A5"
"4048","CCNB1"
"4049","CENPH"
"4050","MRPS36"
"4051","CDK7"
"4052","CCDC125"
"4053","AK6"
"4054","RAD17"
"4055","MARVELD2"
"4056","OCLN"
"4057","GTF2H2C"
"4058","SERF1B"
"4059","SMN2"
"4060","SERF1A"
"4061","SMN1"
"4062","NAIP"
"4063","GTF2H2"
"4064","BDP1"
"4065","MCCC2"
"4066","CARTPT"
"4067","MAP1B"
"4068","MRPS27"
"4069","PTCD2"
"4070","ZNF366"
"4071","TNPO1"
"4072","FCHO2"
"4073","TMEM171"
"4074","BTF3"
"4075","ANKRA2"
"4076","UTP15"
"4077","ARHGEF28"
"4078","ENC1"
"4079","HEXB"
"4080","GFM2"
"4081","NSA2"
"4082","FAM169A"
"4083","ANKRD31"
"4084","HMGCR"
"4085","COL4A3BP"
"4086","POLK"
"4087","ANKDD1B"
"4088","POC5"
"4089","SV2C"
"4090","IQGAP2"
"4091","F2R"
"4092","F2RL1"
"4093","S100Z"
"4094","CRHBP"
"4095","AGGF1"
"4096","ZBED3"
"4097","PDE8B"
"4098","WDR41"
"4099","TBCA"
"4100","AP3B1"
"4101","SCAMP1"
"4102","LHFPL2"
"4103","ARSB"
"4104","DMGDH"
"4105","BHMT2"
"4106","BHMT"
"4107","JMY"
"4108","HOMER1"
"4109","CMYA5"
"4110","MTX3"
"4111","THBS4"
"4112","SERINC5"
"4113","ZFYVE16"
"4114","FAM151B"
"4115","ANKRD34B"
"4116","DHFR"
"4117","MSH3"
"4118","RASGRF2"
"4119","CKMT2"
"4120","ZCCHC9"
"4121","ACOT12"
"4122","SSBP2"
"4123","ATG10"
"4124","RPS23"
"4125","ATP6AP1L"
"4126","TMEM167A"
"4127","XRCC4"
"4128","VCAN"
"4129","HAPLN1"
"4130","EDIL3"
"4131","COX7C"
"4132","RASA1"
"4133","CCNH"
"4134","TMEM161B"
"4135","MEF2C"
"4136","CETN3"
"4137","MBLAC2"
"4138","POLR3G"
"4139","LYSMD3"
"4140","ADGRV1"
"4141","ARRDC3"
"4142","NR2F1"
"4143","FAM172A"
"4144","KIAA0825"
"4145","SLF1"
"4146","MCTP1"
"4147","TTC37"
"4148","ARSK"
"4149","GPR150"
"4150","RFESD"
"4151","SPATA9"
"4152","RHOBTB3"
"4153","GLRX"
"4154","ELL2"
"4155","PCSK1"
"4156","CAST"
"4157","ERAP1"
"4158","ERAP2"
"4159","LNPEP"
"4160","LIX1"
"4161","RIOK2"
"4162","RGMB"
"4163","CHD1"
"4164","FAM174A"
"4165","ST8SIA4"
"4166","SLCO4C1"
"4167","PAM"
"4168","GIN1"
"4169","PPIP5K2"
"4170","C5orf30"
"4171","NUDT12"
"4172","EFNA5"
"4173","FBXL17"
"4174","FER"
"4175","PJA2"
"4176","MAN2A1"
"4177","TMEM232"
"4178","SLC25A46"
"4179","WDR36"
"4180","CAMK4"
"4181","STARD4"
"4182","NREP"
"4183","EPB41L4A"
"4184","APC"
"4185","REEP5"
"4186","DCP2"
"4187","MCC"
"4188","YTHDC2"
"4189","KCNN2"
"4190","TRIM36"
"4191","PGGT1B"
"4192","CCDC112"
"4193","FEM1C"
"4194","TMED7-TICAM2"
"4195","CDO1"
"4196","ATG12"
"4197","AP3S1"
"4198","LVRN"
"4199","COMMD10"
"4200","SEMA6A"
"4201","DTWD2"
"4202","DMXL1"
"4203","TNFAIP8"
"4204","HSD17B4"
"4205","PRR16"
"4206","SRFBP1"
"4207","LOX"
"4208","ZNF474"
"4209","SNCAIP"
"4210","SNX2"
"4211","SNX24"
"4212","PPIC"
"4213","PRDM6"
"4214","CEP120"
"4215","CSNK1G3"
"4216","ZNF608"
"4217","ALDH7A1"
"4218","PHAX"
"4219","TEX43"
"4220","LMNB1"
"4221","MARCH3"
"4222","C5orf63"
"4223","MEGF10"
"4224","PRRC1"
"4225","CTXN3"
"4226","SLC12A2"
"4227","FBN2"
"4228","SLC27A6"
"4229","ISOC1"
"4230","ADAMTS19"
"4231","CHSY3"
"4232","HINT1"
"4233","LYRM7"
"4234","CDC42SE2"
"4235","RAPGEF6"
"4236","MEIKIN"
"4237","ACSL6"
"4238","P4HA2"
"4239","PDLIM4"
"4240","SLC22A4"
"4241","SLC22A5"
"4242","C5orf56"
"4243","IRF1"
"4244","RAD50"
"4245","KIF3A"
"4246","CCNI2"
"4247","SEPT8"
"4248","SOWAHA"
"4249","SHROOM1"
"4250","GDF9"
"4251","UQCRQ"
"4252","LEAP2"
"4253","AFF4"
"4254","ZCCHC10"
"4255","HSPA4"
"4256","FSTL4"
"4257","C5orf15"
"4258","VDAC1"
"4259","TCF7"
"4260","SKP1"
"4261","CDKL3"
"4262","UBE2B"
"4263","CDKN2AIPNL"
"4264","JADE2"
"4265","SAR1B"
"4266","SEC24A"
"4267","CAMLG"
"4268","DDX46"
"4269","C5orf24"
"4270","TXNDC15"
"4271","PCBD2"
"4272","CATSPER3"
"4273","C5orf66"
"4274","H2AFY"
"4275","CXCL14"
"4276","SLC25A48"
"4277","TGFBI"
"4278","SMAD5"
"4279","SPOCK1"
"4280","KLHL3"
"4281","HNRNPA0"
"4282","MYOT"
"4283","PKD2L2"
"4284","FAM13B"
"4285","WNT8A"
"4286","NME5"
"4287","BRD8"
"4288","CDC23"
"4289","GFRA3"
"4290","CDC25C"
"4291","FAM53C"
"4292","KDM3B"
"4293","REEP2"
"4294","EGR1"
"4295","ETF1"
"4296","HSPA9"
"4297","CTNNA1"
"4298","LRRTM2"
"4299","SIL1"
"4300","MATR3"
"4301","PAIP2"
"4302","PROB1"
"4303","SPATA24"
"4304","DNAJC18"
"4305","TMEM173"
"4306","UBE2D2"
"4307","CXXC5"
"4308","PSD2"
"4309","NRG2"
"4310","PURA"
"4311","IGIP"
"4312","CYSTM1"
"4313","PFDN1"
"4314","HBEGF"
"4315","SLC4A9"
"4316","ANKHD1-EIF4EBP3"
"4317","SRA1"
"4318","EIF4EBP3"
"4319","APBB3"
"4320","SLC35A4"
"4321","CD14"
"4322","NDUFA2"
"4323","TMCO6"
"4324","IK"
"4325","WDR55"
"4326","DND1"
"4327","HARS"
"4328","HARS2"
"4329","ZMAT2"
"4330","PCDHA1"
"4331","PCDHB1"
"4332","PCDHB2"
"4333","PCDHB3"
"4334","PCDHB4"
"4335","PCDHB5"
"4336","PCDHB6"
"4337","PCDHB7"
"4338","PCDHB16"
"4339","PCDHB10"
"4340","PCDHB11"
"4341","PCDHB12"
"4342","PCDHB13"
"4343","PCDHB14"
"4344","PCDHB15"
"4345","TAF7"
"4346","PCDHGA1"
"4347","DIAPH1"
"4348","HDAC3"
"4349","RELL2"
"4350","FCHSD1"
"4351","ARAP3"
"4352","PCDH1"
"4353","PCDH12"
"4354","RNF14"
"4355","GNPDA1"
"4356","NDFIP1"
"4357","SPRY4"
"4358","FGF1"
"4359","ARHGAP26"
"4360","NR3C1"
"4361","YIPF5"
"4362","KCTD16"
"4363","PRELID2"
