"","x"
"680","MTF2"
"681","TMED5"
"682","CCDC18"
"683","DR1"
"684","FNBP1L"
"685","BCAR3"
"686","DNTTIP2"
"687","GCLM"
"688","ABCA4"
"689","ARHGAP29"
"690","ABCD3"
"691","F3"
"692","SLC44A3"
"693","CNN3"
"694","ALG14"
"695","TMEM56-RWDD3"
"696","PTBP2"
"697","DPYD"
"698","SNX7"
"699","PLPPR5"
"700","PLPPR4"
"701","PALMD"
"702","AGL"
"703","SLC35A3"
"704","MFSD14A"
"705","SASS6"
"706","TRMT13"
"707","LRRC39"
"708","DBT"
"709","RTCA"
"710","CDC14A"
"711","GPR88"
"712","EXTL2"
"713","SLC30A7"
"714","DPH5"
"715","S1PR1"
"716","OLFM3"
"717","COL11A1"
"718","RNPC3"
"719","AMY2B"
"720","AMY2A"
"721","PRMT6"
"722","NTNG1"
"723","VAV3"
"724","SLC25A24"
"725","FAM102B"
"726","HENMT1"
"727","PRPF38B"
"728","STXBP3"
"729","AKNAD1"
"730","GPSM2"
"731","WDR47"
"732","TAF13"
"733","TMEM167B"
"734","C1orf194"
"735","KIAA1324"
"736","SARS"
"737","CELSR2"
"738","PSRC1"
"739","MYBPHL"
"740","SORT1"
"741","PSMA5"
"742","SYPL2"
"743","ATXN7L2"
"744","CYB561D1"
"745","AMIGO1"
"746","GPR61"
"747","GNAI3"
"748","AMPD2"
"749","GSTM4"
"750","GSTM2"
"751","GSTM5"
"752","GSTM3"
"753","CSF1"
"754","AHCYL1"
"755","STRIP1"
"756","ALX3"
"757","SLC6A17"
"758","KCNC4"
"759","RBM15"
"760","SLC16A4"
"761","LAMTOR5"
"762","PROK1"
"763","KCNA2"
"764","KCNA3"
"765","CD53"
"766","LRIF1"
"767","DRAM2"
"768","CEPT1"
"769","DENND2D"
"770","PIFO"
"771","OVGP1"
"772","WDR77"
"773","C1orf162"
"774","RAP1A"
"775","DDX20"
"776","KCND3"
"777","CTTNBP2NL"
"778","WNT2B"
"779","ST7L"
"780","CAPZA1"
"781","MOV10"
"782","RHOC"
"783","FAM19A3"
"784","SLC16A1"
"785","LRIG2"
"786","MAGI3"
"787","PHTF1"
"788","RSBN1"
"789","PTPN22"
"790","BCL2L15"
"791","AP4B1"
"792","DCLRE1B"
"793","HIPK1"
"794","SYT6"
"795","TRIM33"
"796","BCAS2"
"797","DENND2C"
"798","NRAS"
"799","CSDE1"
"800","SIKE1"
"801","TSPAN2"
"802","NGF"
"803","VANGL1"
"804","NHLH2"
"805","SLC22A15"
"806","MAB21L3"
"807","ATP1A1"
"808","CD58"
"809","IGSF3"
"810","PTGFRN"
"811","CD101"
"812","TTF2"
"813","TRIM45"
"814","MAN1A2"
"815","GDAP2"
"816","WDR3"
"817","SPAG17"
"818","WARS2"
"819","ZNF697"
"820","PHGDH"
"821","NOTCH2"
"822","SEC22B"
"823","NBPF26"
"824","FAM72B"
"825","SRGAP2C"
"826","FAM72C"
"827","NBPF15"
"828","SRGAP2B"
"829","FAM72D"
"830","NBPF20"
"831","GPR89A"
"832","PDZK1"
"833","CD160"
"834","RNF115"
"835","POLR3C"
"836","NUDT17"
"837","PIAS3"
"838","ANKRD35"
"839","ITGA10"
"840","PEX11B"
"841","RBM8A"
"842","LIX1L"
"843","ANKRD34A"
"844","POLR3GL"
"845","TXNIP"
"846","NBPF10"
"847","NBPF12"
"848","PRKAB2"
"849","FMO5"
"850","CHD1L"
"851","BCL9"
"852","ACP6"
"853","GPR89B"
"854","NBPF11"
"855","NBPF14"
"856","PDE4DIP"
"857","NBPF9"
"858","NBPF19"
"859","FCGR1A"
"860","HIST2H2BF"
"861","HIST2H2BE"
"862","HIST2H2AC"
"863","BOLA1"
"864","SV2A"
"865","SF3B4"
"866","MTMR11"
"867","OTUD7B"
"868","VPS45"
"869","PLEKHO1"
"870","ANP32E"
"871","CA14"
"872","APH1A"
"873","C1orf54"
"874","CIART"
"875","MRPS21"
"876","PRPF3"
"877","RPRD2"
"878","TARS2"
"879","ECM1"
"880","ADAMTSL4"
"881","MCL1"
"882","ENSA"
"883","GOLPH3L"
"884","HORMAD1"
"885","CTSS"
"886","CTSK"
"887","ARNT"
"888","SETDB1"
"889","CERS2"
"890","BNIPL"
"891","C1orf56"
"892","CDC42SE1"
"893","MLLT11"
"894","GABPB2"
"895","SEMA6C"
"896","SCNM1"
"897","LYSMD1"
"898","VPS72"
"899","PIP5K1A"
"900","PSMD4"
"901","ZNF687"
"902","PI4KB"
"903","RFX5"
"904","SELENBP1"
"905","PSMB4"
"906","POGZ"
"907","CGN"
"908","TUFT1"
"909","SNX27"
"910","CELF3"
"911","RIIAD1"
"912","MRPL9"
"913","OAZ3"
"914","TDRKH"
"915","LINGO4"
"916","RORC"
"917","C2CD4D"
"918","THEM4"
"919","S100A10"
"920","S100A11"
"921","TCHH"
"922","HRNR"
"923","FLG2"
"924","LOR"
"925","S100A9"
"926","S100A7"
"927","S100A6"
"928","S100A4"
"929","S100A2"
"930","S100A16"
"931","S100A14"
"932","S100A13"
"933","S100A1"
"934","CHTOP"
"935","SNAPIN"
"936","ILF2"
"937","INTS3"
"938","SLC27A3"
"939","GATAD2B"
"940","DENND4B"
"941","CRTC2"
"942","SLC39A1"
"943","CREB3L4"
"944","JTB"
"945","RAB13"
"946","RPS27"
"947","NUP210L"
"948","TPM3"
"949","C1orf43"
"950","UBAP2L"
"951","HAX1"
"952","AQP10"
"953","ATP8B2"
"954","IL6R"
"955","SHE"
"956","UBE2Q1"
"957","CHRNB2"
"958","ADAR"
"959","KCNN3"
"960","PMVK"
"961","PBXIP1"
"962","PYGO2"
"963","SHC1"
"964","CKS1B"
"965","FLAD1"
"966","ZBTB7B"
"967","DCST2"
"968","DCST1"
"969","ADAM15"
"970","EFNA3"
"971","EFNA1"
"972","SLC50A1"
"973","DPM3"
"974","KRTCAP2"
"975","TRIM46"
"976","THBS3"
"977","MTX1"
"978","GBA"
"979","FAM189B"
"980","SCAMP3"
"981","CLK2"
"982","HCN3"
"983","PKLR"
"984","FDPS"
"985","RUSC1"
"986","ASH1L"
"987","MSTO1"
"988","YY1AP1"
"989","DAP3"
"990","GON4L"
"991","SYT11"
"992","RIT1"
"993","ARHGEF2"
"994","SSR2"
"995","UBQLN4"
"996","LAMTOR2"
"997","RAB25"
"998","MEX3A"
"999","LMNA"
"1000","SEMA4A"
"1001","SLC25A44"
"1002","PMF1-BGLAP"
"1003","PAQR6"
"1004","SMG5"
"1005","TMEM79"
"1006","GLMP"
"1007","CCT3"
"1008","TSACC"
"1009","C1orf61"
"1010","MEF2D"
"1011","IQGAP3"
"1012","GPATCH4"
